"Code","Species.Code","Plant.sci","DBH","Number.stems","Landtype"
"S05","ACFE","Acer freemanii",21,1,"street"
"S08","ACFE","Acer freemanii",43,1,"street"
"S08","ACFE","Acer freemanii",37,1,"street"
"S08","ACFE","Acer freemanii",6,1,"street"
"S15","ACFE","Acer freemanii",5,1,"street"
"S18","ACFE","Acer freemanii",16,1,"street"
"S21","ACFE","Acer freemanii",5,1,"street"
"S18","ACGI","Acer ginnala ",5,1,"street"
"S09","ACNE","Acer negundo",32,1,"street"
"S01","ACPI","Acer platanoides",55,1,"street"
"S03","ACPI","Acer platanoides",50,1,"street"
"S03","ACPI","Acer platanoides",75,1,"street"
"S04","ACPI","Acer platanoides",83,1,"street"
"S05","ACPI","Acer platanoides",45,1,"street"
"S05","ACPI","Acer platanoides",29,1,"street"
"S05","ACPI","Acer platanoides",29,1,"street"
"S06","ACPI","Acer platanoides",57,1,"street"
"S06","ACPI","Acer platanoides",97,1,"street"
"S06","ACPI","Acer platanoides",90,1,"street"
"S08","ACPI","Acer platanoides",73,1,"street"
"S08","ACPI","Acer platanoides",85,1,"street"
"S08","ACPI","Acer platanoides",52,1,"street"
"S08","ACPI","Acer platanoides",81,1,"street"
"S09","ACPI","Acer platanoides",58,1,"street"
"S10","ACPI","Acer platanoides",42,1,"street"
"S10","ACPI","Acer platanoides",40,1,"street"
"S13","ACPI","Acer platanoides",71,1,"street"
"S13","ACPI","Acer platanoides",56,1,"street"
"S13","ACPI","Acer platanoides",66,1,"street"
"S14","ACPI","Acer platanoides",66,1,"street"
"S16","ACPI","Acer platanoides",64,1,"street"
"S16","ACPI","Acer platanoides",60,1,"street"
"S16","ACPI","Acer platanoides",60,1,"street"
"S16","ACPI","Acer platanoides",50,1,"street"
"S16","ACPI","Acer platanoides",55,1,"street"
"S16","ACPI","Acer platanoides",50,1,"street"
"S17","ACPI","Acer platanoides",45,1,"street"
"S17","ACPI","Acer platanoides",34,1,"street"
"S19","ACPI","Acer platanoides",47,1,"street"
"S19","ACPI","Acer platanoides",29,1,"street"
"S20","ACPI","Acer platanoides",42,1,"street"
"S20","ACPI","Acer platanoides",35,1,"street"
"S20","ACPI","Acer platanoides",94,1,"street"
"S20","ACPI","Acer platanoides",61,1,"street"
"S20","ACPI","Acer platanoides",48,1,"street"
"S21","ACPI","Acer platanoides",67,1,"street"
"S21","ACPI","Acer platanoides",26,1,"street"
"S11","ACRU","Acer rubrum",34,1,"street"
"S19","ACRU","Acer rubrum",37,1,"street"
"S01","ACSA","Acer saccharinum",76,1,"street"
"S01","ACSA","Acer saccharinum",90,1,"street"
"S01","ACSA","Acer saccharinum",75,1,"street"
"S02","ACSA","Acer saccharinum",90,1,"street"
"S02","ACSA","Acer saccharinum",102,1,"street"
"S03","ACSA","Acer saccharinum",71,1,"street"
"S04","ACSA","Acer saccharinum",85,1,"street"
"S04","ACSA","Acer saccharinum",77,1,"street"
"S04","ACSA","Acer saccharinum",85,1,"street"
"S07","ACSA","Acer saccharinum",107,1,"street"
"S07","ACSA","Acer saccharinum",82,1,"street"
"S07","ACSA","Acer saccharinum",85,1,"street"
"S07","ACSA","Acer saccharinum",79,1,"street"
"S07","ACSA","Acer saccharinum",87,1,"street"
"S10","ACSA","Acer saccharinum",42,1,"street"
"S10","ACSA","Acer saccharinum",76,1,"street"
"S10","ACSA","Acer saccharinum",82,1,"street"
"S10","ACSA","Acer saccharinum",105,1,"street"
"S12","ACSA","Acer saccharinum",112,1,"street"
"S12","ACSA","Acer saccharinum",76,1,"street"
"S12","ACSA","Acer saccharinum",51,1,"street"
"S12","ACSA","Acer saccharinum",61,1,"street"
"S12","ACSA","Acer saccharinum",62,1,"street"
"S12","ACSA","Acer saccharinum",69,1,"street"
"S13","ACSA","Acer saccharinum",18,1,"street"
"S14","ACSA","Acer saccharinum",118,1,"street"
"S15","ACSA","Acer saccharinum",5,1,"street"
"S17","ACSA","Acer saccharinum",73,1,"street"
"S17","ACSA","Acer saccharinum",61,1,"street"
"S17","ACSA","Acer saccharinum",56,1,"street"
"S17","ACSA","Acer saccharinum",68,1,"street"
"S20","ACSA","Acer saccharinum",67,1,"street"
"S20","ACSA","Acer saccharinum",68,1,"street"
"S20","ACSA","Acer saccharinum",66,1,"street"
"S21","ACSA","Acer saccharinum",68,1,"street"
"S21","ACSA","Acer saccharinum",67,1,"street"
"S21","ACSA","Acer saccharinum",65,1,"street"
"S10","ACSC","Acer saccharum",41,1,"street"
"S05","AEOC","Aesculus octandra",5,1,"street"
"S18","AEOC","Aesculus octandra",15,1,"street"
"S05","AMLA","Amelanchier laevis",9,1,"street"
"S01","BENA","Betula nigra",12,1,"street"
"S19","BENA","Betula nigra",17,1,"street"
"S09","BEPA","Betula papyrifera",5,1,"street"
"S03","CACA","Carpinus caroliniana",5,1,"street"
"S18","CACA","Carpinus caroliniana",5,1,"street"
"S04","CASP","Catalpa speciosa",15,1,"street"
"S02","CEOC","Celtis occidentalis",13,1,"street"
"S06","CEOC","Celtis occidentalis",42,1,"street"
"S09","CEOC","Celtis occidentalis",6,1,"street"
"S13","CEOC","Celtis occidentalis",5,1,"street"
"S19","CEJA","Cercidiphyllum japonicum",11,1,"street"
"S02","FRPE","Fraxinus pennsylvanica",NA,1,"street"
"S02","FRPE","Fraxinus pennsylvanica",60,1,"street"
"S09","FRPE","Fraxinus pennsylvanica",60,1,"street"
"S09","FRPE","Fraxinus pennsylvanica",30,1,"street"
"S09","FRPE","Fraxinus pennsylvanica",37,1,"street"
"S09","FRPE","Fraxinus pennsylvanica",27,1,"street"
"S09","FRPE","Fraxinus pennsylvanica",57,1,"street"
"S09","FRPE","Fraxinus pennsylvanica",83,1,"street"
"S09","FRPE","Fraxinus pennsylvanica",49,1,"street"
"S09","FRPE","Fraxinus pennsylvanica",38,1,"street"
"S15","FRPE","Fraxinus pennsylvanica",21,1,"street"
"S01","GIBI","Ginkgo biloba",16,1,"street"
"S05","GIBI","Ginkgo biloba",15,1,"street"
"S10","GIBI","Ginkgo biloba",6,1,"street"
"S17","GIBI","Ginkgo biloba",5,1,"street"
"S02","GLTR","Gleditsia triacanthos",5,1,"street"
"S04","GLTR","Gleditsia triacanthos",37,1,"street"
"S09","GLTR","Gleditsia triacanthos",5,1,"street"
"S10","GLTR","Gleditsia triacanthos",56,1,"street"
"S10","GLTR","Gleditsia triacanthos",51,1,"street"
"S18","GLTR","Gleditsia triacanthos",5,1,"street"
"S15","GYDI","Gymnocladus dioicus",5,1,"street"
"S21","GYDI","Gymnocladus dioicus",10,1,"street"
"S18","LITU","Liriodendron tulipifera",16,1,"street"
"S02","MASP","Malus spp",5,1,"street"
"S02","OSVI","Ostrya virginiana",10,1,"street"
"S07","PIPU","Picea pungens",47,1,"street"
"S11","PIPU","Picea pungens",19,1,"street"
"S11","PIPU","Picea pungens",21,1,"street"
"S11","PIPU","Picea pungens",20,1,"street"
"S14","PIPU","Picea pungens",45,1,"street"
"S18","PIPU","Picea pungens",5,1,"street"
"S19","PIPU","Picea pungens",40,NA,"street"
"S21","PIPU","Picea pungens",7,1,"street"
"S15","PISY","Pinus sylvestris",28,1,"street"
"S06","QURO","Quercus robur",27,1,"street"
"S02","QURU","Quercus rubra",54,1,"street"
"S19","QUWA","Quercus warei",10,1,"street"
"S19","QUWA","Quercus warei",9,1,"street"
"S07","TIAM","Tilia americana",57,1,"street"
"S06","TICO","Tilia cordata",70,1,"street"
"S06","TICO","Tilia cordata",90,1,"street"
"S06","TICO","Tilia cordata",92,1,"street"
"S11","TICO","Tilia cordata",41,1,"street"
"S14","TICO","Tilia cordata",52,1,"street"
"S14","TICO","Tilia cordata",56,1,"street"
"S14","TICO","Tilia cordata",66,1,"street"
"S14","TICO","Tilia cordata",43,1,"street"
"S14","TICO","Tilia cordata",51,1,"street"
"S14","TICO","Tilia cordata",55,1,"street"
"S15","TICO","Tilia cordata",55,1,"street"
"S15","TICO","Tilia cordata",59,1,"street"
"S15","TICO","Tilia cordata",53,1,"street"
"S21","TICO","Tilia cordata",57,1,"street"
"S19","TIEU","Tilia cordata",13,1,"street"
"S11","ULAM","Ulmus americana",82,1,"street"
"S11","ULHO","Ulmus hollandica",5,1,"street"
"S18","ULHO","Ulmus hollandica",5,1,"street"
"S03","ULMO","Ulmus morton",22,1,"street"
"Y45","ABBA","Abies balsamea",7,1,"yard"
"Y45","ABBA","Abies balsamea",8,1,"yard"
"Y45","ABBA","Abies balsamea",5,1,"yard"
"Y45","ABBA","Abies balsamea",9,1,"yard"
"Y04","ACNE","Acer negundo",53,1,"yard"
"Y04","ACNE","Acer negundo",51,1,"yard"
"Y04","ACNE","Acer negundo",36,1,"yard"
"Y27","ACNE","Acer negundo",106,1,"yard"
"Y33","ACNE","Acer negundo",52,1,"yard"
"Y33","ACNE","Acer negundo",39,1,"yard"
"Y04","ACPA","Acer palmatum",8,1,"yard"
"Y04","ACPA","Acer palmatum",6,1,"yard"
"Y04","ACPA","Acer palmatum",9,1,"yard"
"Y13","ACPA","Acer palmatum",37,4,"yard"
"Y33","ACPA","Acer palmatum",6,1,"yard"
"Y49","ACPA","Acer palmatum",8,1,"yard"
"Y04","ACPL","Acer platanoides",35,1,"yard"
"Y04","ACPL","Acer platanoides",82,1,"yard"
"Y04","ACPL","Acer platanoides",14,1,"yard"
"Y04","ACPL","Acer platanoides",6,1,"yard"
"Y04","ACPL","Acer platanoides",7,1,"yard"
"Y04","ACPL","Acer platanoides",28,1,"yard"
"Y04","ACPL","Acer platanoides",30,1,"yard"
"Y04","ACPL","Acer platanoides",26,1,"yard"
"Y09","ACPL","Acer platanoides",29,1,"yard"
"Y18","ACPL","Acer platanoides",33,1,"yard"
"Y31","ACPL","Acer platanoides",45,1,"yard"
"Y31","ACPL","Acer platanoides",42,1,"yard"
"Y31","ACPL","Acer platanoides",43,1,"yard"
"Y31","ACPL","Acer platanoides",45,1,"yard"
"Y49","ACPL","Acer platanoides",49,1,"yard"
"Y05","ACSA","Acer saccharinum",65,1,"yard"
"Y06","ACSA","Acer saccharinum",22,1,"yard"
"Y13","ACSA","Acer saccharinum",135,1,"yard"
"Y44","ACSA","Acer saccharinum",180,2,"yard"
"Y05","ACSC","Acer saccharum",55,1,"yard"
"Y06","AMCA","Amelanchier canadensis",5,1,"yard"
"Y18","AMCA","Amelanchier canadensis",16,1,"yard"
"Y18","CEOC","Celtis occidentalis",9,1,"yard"
"Y03","CHNO","Chamaecyparis spp",15,1,"yard"
"Y13","CHNO","Chamaecyparis spp",15,1,"yard"
"Y13","CHPI","Chamaecyparis spp",4,1,"yard"
"Y03","CTCO","Cotinus coggygria",21,7,"yard"
"Y04","DEAD","Dead standing",40,1,"yard"
"Y26","DEAD","Dead standing",20,1,"yard"
"Y03","EUAL","Euonymus alatus",10,7,"yard"
"Y13","EUAL","Euonymus alatus",30,14,"yard"
"Y13","EUAL","Euonymus alatus",30,15,"yard"
"Y24","EUAL","Euonymus alatus",15,1,"yard"
"Y24","EUAL","Euonymus alatus",16,1,"yard"
"Y18","FRAM","Fraxinus americana",60,1,"yard"
"Y25","FRAM","Fraxinus americana",40,1,"yard"
"Y28","FRPE","Fraxinus pennsylvanica",60,1,"yard"
"Y28","FRPE","Fraxinus pennsylvanica",76,1,"yard"
"Y13","GIBI","Ginkgo biloba",2,1,"yard"
"Y03","JABA","Berberis thunbergii",15,20,"yard"
"Y03","LIAM","Linnaea amabilis",15,20,"yard"
"Y47","LOXY","Lonicera xylosteum",19,4,"yard"
"Y13","MGSU","Magnolia soulangeana",30,4,"yard"
"Y13","MGSU","Magnolia soulangeana",17,1,"yard"
"Y24","MABA","Malus spp",8,1,"yard"
"Y20","MADO","Malus spp",4,3,"yard"
"Y20","MADO","Malus spp",3,2,"yard"
"Y26","MADO","Malus spp",21,1,"yard"
"Y18","MASY","Malus sylvestris",35,1,"yard"
"Y32","MASY","Malus sylvestris",36,1,"yard"
"Y07","MOAL","Morus alba",18,1,"yard"
"Y24","MOAL","Morus alba",8,1,"yard"
"Y06","OSVI","Ostrya virginiana",2,1,"yard"
"Y33","PHCO","Philadelphus coronarius",6,1,"yard"
"Y13","PIAB","Picea abies",10,1,"yard"
"Y18","PIGL","Picea glauca",45,1,"yard"
"Y05","PIPU","Picea pungens",50,1,"yard"
"Y18","PIPU","Picea pungens",27,1,"yard"
"Y18","PIRU","Picea rubens",45,1,"yard"
"Y24","PRCR","Prunus cerasus",5,1,"yard"
"Y44","PRCO","Prunus communis",6,1,"yard"
"Y44","PRJA","Prunus japonica",27,6,"yard"
"Y06","PYCO","Pyrus communis",3,1,"yard"
"Y26","PYCO","Pyrus communis",17,1,"yard"
"Y04","RHCA","Rhamnus cathartica",5,1,"yard"
"Y24","SANI","Sambucus nigra",5,1,"yard"
"Y45","SOAU","Sorbus aucuparia",21,1,"yard"
"Y05","SYRE","Syringa reticulata",20,1,"yard"
"Y13","SYRE","Syringa reticulata",37,3,"yard"
"Y18","SYRE","Syringa reticulata",18,1,"yard"
"Y04","SYVU","Syringa vulgaris",18,1,"yard"
"Y04","SYVU","Syringa vulgaris",12,1,"yard"
"Y04","SYVU","Syringa vulgaris",25,1,"yard"
"Y06","SYVU","Syringa vulgaris",16,4,"yard"
"Y09","SYVU","Syringa vulgaris",36,1,"yard"
"Y20","SYVU","Syringa vulgaris",14,2,"yard"
"Y20","SYVU","Syringa vulgaris",4,1,"yard"
"Y20","SYVU","Syringa vulgaris",6,1,"yard"
"Y20","SYVU","Syringa vulgaris",4,1,"yard"
"Y20","SYVU","Syringa vulgaris",22,4,"yard"
"Y20","SYVU","Syringa vulgaris",5,1,"yard"
"Y25","SYVU","Syringa vulgaris",9,1,"yard"
"Y26","SYVU","Syringa vulgaris",10,1,"yard"
"Y28","SYVU","Syringa vulgaris",17,4,"yard"
"Y28","SYVU","Syringa vulgaris",12,2,"yard"
"Y28","SYVU","Syringa vulgaris",4,1,"yard"
"Y32","SYVU","Syringa vulgaris",14,1,"yard"
"Y33","SYVU","Syringa vulgaris",10,8,"yard"
"Y33","SYVU","Syringa vulgaris",10,7,"yard"
"Y33","SYVU","Syringa vulgaris",10,3,"yard"
"Y47","SYVU","Syringa vulgaris",16,2,"yard"
"Y49","SYVU","Syringa vulgaris",NA,1,"yard"
"Y05","TACA","Taxus canadensis",7,7,"yard"
"Y13","TACA","Taxus canadensis",13,6,"yard"
"Y13","TACA","Taxus canadensis",11,2,"yard"
"Y13","TACA","Taxus canadensis",5,8,"yard"
"Y18","TACA","Taxus canadensis",18,1,"yard"
"Y44","TACA","Taxus canadensis",102,7,"yard"
"Y44","TACA","Taxus canadensis",86,14,"yard"
"Y03","THOC","Thuja occidentalis",9,1,"yard"
"Y03","THOC","Thuja occidentalis",5,1,"yard"
"Y03","THOC","Thuja occidentalis",12,1,"yard"
"Y03","THOC","Thuja occidentalis",60,10,"yard"
"Y03","THOC","Thuja occidentalis",7,1,"yard"
"Y03","THOC","Thuja occidentalis",5,1,"yard"
"Y05","THOC","Thuja occidentalis",12,3,"yard"
"Y05","THOC","Thuja occidentalis",264,44,"yard"
"Y09","THOC","Thuja occidentalis",10,1,"yard"
"Y09","THOC","Thuja occidentalis",15,1,"yard"
"Y09","THOC","Thuja occidentalis",8,1,"yard"
"Y13","THOC","Thuja occidentalis",8,1,"yard"
"Y13","THOC","Thuja occidentalis",9,1,"yard"
"Y13","THOC","Thuja occidentalis",8,1,"yard"
"Y13","THOC","Thuja occidentalis",10,1,"yard"
"Y13","THOC","Thuja occidentalis",6,1,"yard"
"Y13","THOC","Thuja occidentalis",7,1,"yard"
"Y13","THOC","Thuja occidentalis",5,1,"yard"
"Y13","THOC","Thuja occidentalis",4,1,"yard"
"Y13","THOC","Thuja occidentalis",5,1,"yard"
"Y13","THOC","Thuja occidentalis",8,2,"yard"
"Y13","THOC","Thuja occidentalis",7,1,"yard"
"Y18","THOC","Thuja occidentalis",8,1,"yard"
"Y18","THOC","Thuja occidentalis",29,1,"yard"
"Y18","THOC","Thuja occidentalis",16,1,"yard"
"Y18","THOC","Thuja occidentalis",38,1,"yard"
"Y18","THOC","Thuja occidentalis",23,1,"yard"
"Y18","THOC","Thuja occidentalis",11,1,"yard"
"Y18","THOC","Thuja occidentalis",10,1,"yard"
"Y18","THOC","Thuja occidentalis",10,1,"yard"
"Y18","THOC","Thuja occidentalis",10,1,"yard"
"Y18","THOC","Thuja occidentalis",6,1,"yard"
"Y18","THOC","Thuja occidentalis",12,1,"yard"
"Y18","THOC","Thuja occidentalis",9,1,"yard"
"Y18","THOC","Thuja occidentalis",9,1,"yard"
"Y18","THOC","Thuja occidentalis",9,1,"yard"
"Y18","THOC","Thuja occidentalis",9,1,"yard"
"Y18","THOC","Thuja occidentalis",11,1,"yard"
"Y18","THOC","Thuja occidentalis",12,1,"yard"
"Y18","THOC","Thuja occidentalis",17,1,"yard"
"Y18","THOC","Thuja occidentalis",7,1,"yard"
"Y24","THOC","Thuja occidentalis",27,1,"yard"
"Y24","THOC","Thuja occidentalis",19,1,"yard"
"Y24","THOC","Thuja occidentalis",25,1,"yard"
"Y24","THOC","Thuja occidentalis",26,1,"yard"
"Y24","THOC","Thuja occidentalis",22,1,"yard"
"Y25","THOC","Thuja occidentalis",29,1,"yard"
"Y25","THOC","Thuja occidentalis",15,1,"yard"
"Y31","THOC","Thuja occidentalis",180,30,"yard"
"Y31","THOC","Thuja occidentalis",180,30,"yard"
"Y32","THOC","Thuja occidentalis",13,1,"yard"
"Y32","THOC","Thuja occidentalis",21,1,"yard"
"Y32","THOC","Thuja occidentalis",8,1,"yard"
"Y32","THOC","Thuja occidentalis",5,1,"yard"
"Y32","THOC","Thuja occidentalis",5,1,"yard"
"Y45","THOC","Thuja occidentalis",18,1,"yard"
"Y45","THOC","Thuja occidentalis",7,1,"yard"
"Y47","THOC","Thuja occidentalis",37,1,"yard"
"Y47","THOC","Thuja occidentalis",16,1,"yard"
"Y47","THOC","Thuja occidentalis",10,1,"yard"
"Y47","THOC","Thuja occidentalis",18,1,"yard"
"Y47","THOC","Thuja occidentalis",11,2,"yard"
"Y47","THOC","Thuja occidentalis",22,1,"yard"
"Y49","THOC","Thuja occidentalis",10,1,"yard"
"Y09","TICO","Tilia cordata",14,1,"yard"
"Y04","ULAM","Ulmus americana",18,1,"yard"
"Y18","ULPU","Ulmus pumila",69,1,"yard"
"Y47","ULXXFR","Ulmus pumila",18,1,"yard"
"Y47","ULXXFR","Ulmus pumila",47,1,"yard"
"Y24","WEFL","Weigela florida",19,1,"yard"
