"","Yard.code","Date","Start.Time","End.Time","Temperature...C.","Cloud.Cover.code","Beaufort.scale","Day.of.Week","Species","Bird.Scientific.Name","Behaviour","Time.of.Observation","Plant.species","Scientific.Name","DBH..cm.","Notes","X","Type","IsHedge","Basal.density","BehaviourType"
"1","Y03","15/05/2024","7:03","7:23",13,4,3,"Wednesday","HOSP","Passer domesticus","Hop","7:16","Beauty bush","Kolkwitzia amabilis",15,"Lots of birds in adjacent yards, challenging to observe hedges. Heard TEWA, BTNW, AMRO, SOSP.","","Yard","Yes","2.5470304","Foraging"
"2","Y03","15/05/2024","7:03","7:23",13,4,3,"Wednesday","EWPE","Contopus virens","Sally","7:20","Burning bush","Euonymus alatus",2,"Many small stems ","","Yard","Yes","2.5470304","Foraging"
"3","Y33","15/05/2024","8:09","8:29",13,4,3,"Wednesday","HOSP","Passer domesticus","Vocalize","8:20","Manitoba maple","Acer negundo",42,"Loud construction across the street, plane, chimney swifts above ","","Yard","No","8.7178143","Territory_defense"
"4","Y33","15/05/2024","8:09","8:29",13,4,3,"Wednesday","EUST","Sturnus vulgaris","Peck","8:21","Manitoba maple","Acer negundo",42,"","","Yard","No","8.7178143","Foraging"
"5","Y33","15/05/2024","8:09","8:29",13,4,3,"Wednesday","HOSP","Passer domesticus","Vocalize","9:23","Manitoba maple","Acer negundo",30,"","","Yard","No","8.7178143","Territory_defense"
"6","Y33","15/05/2024","8:09","8:29",13,4,3,"Wednesday","LEFL","Empidonax minimus","Sally","8:24","Manitoba maple","Acer negundo",42,"","","Yard","No","8.7178143","Foraging"
"7","Y33","15/05/2024","8:09","8:29",13,4,3,"Wednesday","AMRO","Turdus migratorius","Vocalize","8:26","Manitoba maple","Acer negundo",30,"","","Yard","No","8.7178143","Territory_defense"
"8","Y45","15/05/2024","9:03","9:23",13,4,3,"Wednesday","HOSP","Passer domesticus","Perch","9:13","Canada yew","Taxus canadensis",30,"Construction heard, birds galore in adjacent yards (hermit thrush, NOCA, SWTH, GRCA, CMWA) ","","Yard","No","8.9523931","Rest"
"9","Y45","15/05/2024","9:03","9:23",13,4,3,"Wednesday","HOSP","Passer domesticus","Vocalize","9:14","Canada yew","Taxus canadensis",14,"","","Yard","No","8.9523931","Territory_defense"
"10","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","NOCA","Cardinalis cardinalis","Vocalize","7:15","Norway spruce","Picea abies",49,"Clouds cover washed out the colour of the birds; birds were missed. Merlin recorded SOSP, HOSP, NOCA, AMRO, BCCH, AMGO, HOFI, YRWA, CSWA, SWTH.","","Yard","No","36.854895","Territory_defense"
"11","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","AMGO","Spinus tristis","Vocalize","7:16","Norway spruce","Picea abies",30,"","","Yard","No","36.854895","Territory_defense"
"12","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","AMGO","Spinus tristis","Perch","7:16","Norway spruce","Picea abies",30,"","","Yard","No","36.854895","Rest"
"13","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","CHSP","Spizella passerina","Vocalize","7:18","White ash","Fraxinus americana",60,"","","Yard","No","36.854895","Territory_defense"
"14","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","WAVI","Vireo gilvus","Reach","7:19","White ash","Fraxinus americana",60,"Description: white underside, long black-tipped white tail, white cheek, eyeline, longish beak (slightly hooked), somewhat blueish upperparts, horizontal posture, head rotation and tail flicking, larger than a warbler","","Yard","No","36.854895","Foraging"
"15","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","WAVI","Vireo gilvus","Glean","7:19","White ash","Fraxinus americana",60,"","","Yard","No","36.854895","Foraging"
"16","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","WAVI","Vireo gilvus","Sally","7:19","White ash","Fraxinus americana",60,"","","Yard","No","36.854895","Foraging"
"17","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","WAVI","Vireo gilvus","Sally","7:19","White ash","Fraxinus americana",60,"Mating pair","","Yard","No","36.854895","Foraging"
"18","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","WAVI","Vireo gilvus","Reach","7:19","White ash","Fraxinus americana",60,"","","Yard","No","36.854895","Foraging"
"19","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","WAVI","Vireo gilvus","Glean","7:19","White ash","Fraxinus americana",60,"","","Yard","No","36.854895","Foraging"
"20","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","CSWA","Setophaga pensylvanica","Vocalize","7:20","White ash","Fraxinus americana",60,"","","Yard","No","36.854895","Territory_defense"
"21","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","CSWA","Setophaga pensylvanica","Glean","7:20","White ash","Fraxinus americana",60,"","","Yard","No","36.854895","Foraging"
"22","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","NOCA","Cardinalis cardinalis","Ground forage","7:21","European crabapple","Malus sylvestris",35,"Male","","Yard","No","36.854895","Foraging"
"23","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","NOCA","Cardinalis cardinalis","Perch","7:21","European crabapple","Malus sylvestris",35,"Female","","Yard","No","36.854895","Rest"
"24","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","WIWA","Cardellina pusilla","Vocalize","7:22","European crabapple","Malus sylvestris",35,"","","Yard","No","36.854895","Territory_defense"
"25","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","SWTH","Catharus ustulatus","Peck","7:23","Ground",NA,NA,"","","Yard","No","36.854895","Foraging"
"26","Y18","16/05/2024","7:04","7:26",13,4,3,"Thursday","SWTH","Catharus ustulatus","Perch","7:23","European crabapple","Malus sylvestris",35,"","","Yard","No","36.854895","Rest"
"27","Y04","16/05/2024","8:16","8:37",13,4,3,"Thursday",NA,"","","","","",NA,"Mama robin incubating (nest is on fixture attached to house), large Norway maple on property (dense canopy), very loud RBNU in front. Homeowner very interested in results","","Yard","Yes","3.1567111","NA"
"28","Y26","17/05/2024","8:38","8:58",17,4,2,"Friday ","EUST","Sturnus vulgaris","Perch","8:40","Dead standing",NA,20,"Manitoba maple 'hedge' flanking right side of the yard, house cat passed through the yard. Saw LEFL in neighbour's large silver maple.","","Yard","No","3.8040849","Rest"
"29","Y26","17/05/2024","8:38","8:58",17,4,2,"Friday ","EUST","Sturnus vulgaris","Perch","8:44","Dead standing",NA,20,"","","Yard","No","3.8040849","Rest"
"30","Y26","17/05/2024","8:38","8:58",17,4,2,"Friday ","EUST","Sturnus vulgaris","Vocalize","8:46","Dead standing",NA,20,"","","Yard","No","3.8040849","Territory_defense"
"31","Y26","17/05/2024","8:38","8:58",17,4,2,"Friday ","EUST","Sturnus vulgaris","Preen","8:46","Dead standing",NA,20,"","","Yard","No","3.8040849","Grooming"
"32","Y26","17/05/2024","8:38","8:58",17,4,2,"Friday ","NOCA","Cardinalis cardinalis","Vocalize","8:50","Dead standing",NA,20,"","","Yard","No","3.8040849","Territory_defense"
"33","Y13","17/05/2024","9:15","9:35",17,4,2,"Friday ","HOSP","Passer domesticus","Vocalize","9:20","Lily magnolia","Magnolia liliflora",15,"No hedges, including cedars","","Yard","Yes","12.7497909","Territory_defense"
"34","Y13","17/05/2024","9:15","9:35",17,4,2,"Friday ","HOSP","Passer domesticus","Vocalize","9:20","Lily magnolia","Magnolia liliflora",15,"","","Yard","Yes","12.7497909","Territory_defense"
"35","Y13","17/05/2024","9:15","9:35",17,4,2,"Friday ","HOSP","Passer domesticus","Vocalize","9:20","Lily magnolia","Magnolia liliflora",15,"","","Yard","Yes","12.7497909","Territory_defense"
"36","Y13","17/05/2024","9:15","9:35",17,4,2,"Friday ","HOSP","Passer domesticus","Glean","9:22","Norway spruce","Picea abies",15,"","","Yard","Yes","12.7497909","Foraging"
"37","Y13","17/05/2024","9:15","9:35",17,4,2,"Friday ","HOSP","Passer domesticus","Glean","9:24","Burning bush","Euonymus alatus",1,"","","Yard","Yes","12.7497909","Foraging"
"38","Y13","17/05/2024","9:15","9:35",17,4,2,"Friday ","AMRO","Turdus migratorius","Bathe","9:28","Bird bath",NA,NA,"","","Yard","Yes","12.7497909","Grooming"
"39","Y13","17/05/2024","9:15","9:35",17,4,2,"Friday ","MODO","Zenaida macroura","Perch","9:30","Silver maple","Acer saccharinum",140,"","","Yard","Yes","12.7497909","Rest"
"40","Y13","17/05/2024","9:15","9:35",17,4,2,"Friday ","MODO","Zenaida macroura","Vocalize","9:32","Silver maple","Acer saccharinum",140,"","","Yard","Yes","12.7497909","Territory_defense"
"41","Y13","17/05/2024","9:15","9:35",17,4,2,"Friday ","MODO","Zenaida macroura","Vocalize","9:32","Silver maple","Acer saccharinum",140,"","","Yard","Yes","12.7497909","Territory_defense"
"42","Y32","21/05/2024","6:43","7:03",20,3,2,"Tuesday","NOCA","Cardinalis cardinalis","Vocalize","6:50","European crabapple","Malus sylvestris",15,"","","Yard","No","18.1459564","Territory_defense"
"43","Y06","21/05/2024","7:25","7:45",20,3,2,"Tuesday",NA,"","","","","",NA,"Nothing in yard, REVI and BLPW heard in area","","Yard","Yes","5.2786735","NA"
"44","Y20","21/05/2024","8:12","8:32",21,3,2,"Tuesday","HOSP","Passer domesticus","Feeder","8:15","Feeder",NA,NA,"","","Yard","No","44.9160733","Anthropogenic_interaction"
"45","Y20","21/05/2024","8:12","8:32",21,3,2,"Tuesday","HOSP","Passer domesticus","Feeder","8:15","Feeder",NA,NA,"","","Yard","No","44.9160733","Anthropogenic_interaction"
"46","Y20","21/05/2024","8:12","8:32",21,3,2,"Tuesday","HOSP","Passer domesticus","Feeder","8:15","Feeder",NA,NA,"","","Yard","No","44.9160733","Anthropogenic_interaction"
"47","Y20","21/05/2024","8:12","8:32",21,3,2,"Tuesday","HOSP","Passer domesticus","Feeder","8:15","Feeder",NA,NA,"","","Yard","No","44.9160733","Anthropogenic_interaction"
"48","Y20","21/05/2024","8:12","8:32",21,3,2,"Tuesday","HOSP","Passer domesticus","Feeder","8:15","Feeder",NA,NA,"","","Yard","No","44.9160733","Anthropogenic_interaction"
"49","Y20","21/05/2024","8:12","8:32",21,3,2,"Tuesday","HOSP","Passer domesticus","Feeder","8:15","Feeder",NA,NA,"","","Yard","No","44.9160733","Anthropogenic_interaction"
"50","Y20","21/05/2024","8:12","8:32",21,3,2,"Tuesday","HOSP","Passer domesticus","Bill wipe","8:16","Common lilac","Syringa vulgaris",5,"","","Yard","No","44.9160733","Grooming"
"51","Y20","21/05/2024","8:12","8:32",21,3,2,"Tuesday","NOCA","Cardinalis cardinalis","Feeder","8:18","Ground",NA,NA,"Came from feeder, feeder content: millet, sunflower ","","Yard","No","44.9160733","Anthropogenic_interaction"
"52","Y20","21/05/2024","8:12","8:32",21,3,2,"Tuesday","CHSP","Spizella passerina","Feeder","8:20","Feeder",NA,NA,"","","Yard","No","44.9160733","Anthropogenic_interaction"
"53","Y20","21/05/2024","8:12","8:32",21,3,2,"Tuesday","CHSP","Spizella passerina","Feeder","8:24","Ground",NA,NA,"","","Yard","No","44.9160733","Anthropogenic_interaction"
"54","Y20","21/05/2024","8:12","8:32",21,3,2,"Tuesday","NOCA","Cardinalis cardinalis","Feed each other ","8:30","Black chokecherry","Prunus virginiana",13,"","","Yard","No","44.9160733","NA"
"55","Y20","21/05/2024","8:12","8:32",21,3,2,"Tuesday","NOCA","Cardinalis cardinalis","Feed each other ","8:30","Black chokecherry","Prunus virginiana",13,"","","Yard","No","44.9160733","NA"
"56","Y05","21/05/2024","8:42","9:02",21,2,2,"Tuesday","AMRO","Turdus migratorius","Gape","8:45","Ground",NA,NA,"","","Yard","Yes","5.1747616","Foraging"
"57","Y05","21/05/2024","8:42","9:02",21,2,2,"Tuesday","HOSP","Passer domesticus","Perch","8:50","White cedar","Thuja occidentalis",10,"Hedge","","Yard","Yes","5.1747616","Rest"
"58","Y05","21/05/2024","8:42","9:02",21,2,2,"Tuesday","HOSP","Passer domesticus","Perch","8:55","White cedar","Thuja occidentalis",10,"Hedge","","Yard","Yes","5.1747616","Rest"
"59","Y25","23/05/2024","7:24","7:43",21,4,3,"Thursday","AMCR","Corvus brachyrhynchos","Vocalize","7:37","White ash","Fraxinus americana",40,"","","Yard","No",NA,"Territory_defense"
"60","Y49","23/05/2024","8:36","8:57",21,4,3,"Thursday","HOSP","Passer domesticus","Feeder","8:38","Feeder",NA,NA,"Strong gusts of wind in front yard, less windy in back, empty robin's nest on porch, neighbours all removed trees","","Yard","No","12.2787018","Anthropogenic_interaction"
"61","Y49","23/05/2024","8:36","8:57",21,4,3,"Thursday","HOFI","Haemorhous mexicanus","Perch","8:40","Japanese maple","Acer palmatum",5,"","","Yard","No","12.2787018","Rest"
"62","Y49","23/05/2024","8:36","8:57",21,4,3,"Thursday","HOSP","Passer domesticus","Perch","8:50","Japanese maple","Acer palmatum",5,"","","Yard","No","12.2787018","Rest"
"63","Y49","23/05/2024","8:36","8:57",21,4,3,"Thursday","HOSP","Passer domesticus","Perch","8:50","Norway maple","Acer platanoides",35,"","","Yard","No","12.2787018","Rest"
"64","Y49","23/05/2024","8:36","8:57",21,4,3,"Thursday","WAVI","Vireo gilvus","Perch","8:50","Japanese maple","Acer palmatum",5,"","","Yard","No","12.2787018","Rest"
"65","Y49","23/05/2024","8:36","8:57",21,4,3,"Thursday","EUST","Sturnus vulgaris","Bill wipe","8:52","Norway maple","Acer platanoides",35,"","","Yard","No","12.2787018","Grooming"
"66","Y49","23/05/2024","8:36","8:57",21,4,3,"Thursday","EUST","Sturnus vulgaris","Perch","8:54","Norway maple","Acer platanoides",35,"","","Yard","No","12.2787018","Rest"
"67","Y49","23/05/2024","8:36","8:57",21,4,3,"Thursday","EUST","Sturnus vulgaris","Feeder","8:55","Feeder",NA,NA,"","","Yard","No","12.2787018","Anthropogenic_interaction"
"68","Y49","23/05/2024","8:36","8:57",21,4,3,"Thursday","CHSP","Spizella passerina","Feeder","8:55","Ground",NA,NA,"","","Yard","No","12.2787018","Anthropogenic_interaction"
"69","Y49","23/05/2024","8:36","8:57",21,4,3,"Thursday","CHSP","Spizella passerina","Perch","8:57","Norway maple","Acer platanoides",35,"","","Yard","No","12.2787018","Rest"
"70","Y27","23/05/2024","9:25","9:45",21,4,4,"Thursday","HOSP","Passer domesticus","Glean","9:27","Manitoba maple","Acer negundo",100,"YEWA heard in neighbouhood, house cat in window, CEDW flock flew overhead, MERL or other bird of prey flew overhead","","Yard","No","5.504345","Foraging"
"71","Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Forage","6:22","Ground",NA,NA,"Bird feeders: miller, sunflower seed, thistle. Windy.","","Yard","No","11.3989116","Foraging"
"72","Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Forage","6:22","Ground",NA,NA,"","","Yard","No","11.3989116","Foraging"
"73","Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Forage","6:22","Ground",NA,NA,"","","Yard","No","11.3989116","Foraging"
"74","Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Perch","6:26","Common lilac","Syringa vulgaris",5,"","","Yard","No","11.3989116","Rest"
"75","Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Perch","6:26","Common lilac","Syringa vulgaris",5,"","","Yard","No","11.3989116","Rest"
"76","Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Perch","6:26","Common lilac","Syringa vulgaris",5,"","","Yard","No","11.3989116","Rest"
"77","Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","NOCA","Cardinalis cardinalis","Vocalize","6:34","Common lilac","Syringa vulgaris",5,"","","Yard","No","11.3989116","Territory_defense"
"78","Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Perch","6:35","Common lilac","Syringa vulgaris",5,"","","Yard","No","11.3989116","Rest"
"79","Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Vocalize","6:36","Common lilac","Syringa vulgaris",5,"","","Yard","No","11.3989116","Territory_defense"
"80","Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Perch","6:36","Common lilac","Syringa vulgaris",5,"","","Yard","No","11.3989116","Rest"
"81","Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Vocalize","6:36","Common lilac","Syringa vulgaris",5,"","","Yard","No","11.3989116","Territory_defense"
"82","Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Perch","6:36","Common lilac","Syringa vulgaris",5,"","","Yard","No","11.3989116","Rest"
"83","Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Vocalize","6:39","Common lilac","Syringa vulgaris",5,"","","Yard","No","11.3989116","Territory_defense"
"84","Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Perch","6:39","Common lilac","Syringa vulgaris",5,"","","Yard","No","11.3989116","Rest"
"85","Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Perch","6:39","Common lilac","Syringa vulgaris",5,"","","Yard","No","11.3989116","Rest"
"86","Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Vocalize","6:39","Common lilac","Syringa vulgaris",5,"","","Yard","No","11.3989116","Territory_defense"
"87","Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Vocalize","6:39","Common lilac","Syringa vulgaris",5,"","","Yard","No","11.3989116","Territory_defense"
"88","Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Vocalize","6:40","Trumpet honeysuckle","Lonicera sempervirens",NA,"","","Yard","No","11.3989116","Territory_defense"
"89","Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Preen","6:41","Trumpet honeysuckle","Lonicera sempervirens",NA,"","","Yard","No","11.3989116","Grooming"
"90","Y28","28/05/2024","6:22","6:42",17,4,4,"Tuesday","HOSP","Passer domesticus","Preen","6:41","Trumpet honeysuckle","Lonicera sempervirens",NA,"","","Yard","No","11.3989116","Grooming"
"91","Y31","28/05/2024","6:51","7:11",17,4,4,"Tuesday",NA,"","","","","",NA,"Cedar hedges on either side. Very light rain, windy. Has treated ash tree. Feeder & birdbath.","","Yard","Yes","0.8590313","NA"
"92","Y07","28/05/2024","7:19","7:39",18,4,4,"Tuesday",NA,"","","","","",NA,"Light rain. COGR flock, possible MERL. Wind gusts.","","Yard","Yes","6.9929772","NA"
"93","Y44","28/05/2024","7:47","8:07",17,4,4,"Tuesday","CHSP","Spizella passerina","Vocalize","8:07","Cherry plum ","Prunus cerasifera",3,"","","Yard","No","6.8395773","Territory_defense"
"94","Y44","28/05/2024","7:47","8:07",17,4,4,"Tuesday","CHSP","Spizella passerina","Vocalize","8:07","Japanese yew","Taxus cuspidata",15,"Light drizzle. Mulberry tree, leaf litter pile, and somewhat natural lawn in backyard.","","Yard","No","6.8395773","Territory_defense"
"95","Y47","29/05/2024","7:08","7:28",12,1,2,"Wednesday","HOSP","Passer domesticus","Perch","7:09","White cedar","Thuja occidentalis",35,"Loud BLBW and AMRE vocalizations. Faint MAWA and CEDW. ","","Yard","No","24.3215042","Rest"
"96","Y47","29/05/2024","7:08","7:28",12,1,2,"Wednesday","EUST","Sturnus vulgaris","Perch","7:14","Siberian elm","Ulmus pumila",18,"","","Yard","No","24.3215042","Rest"
"97","Y47","29/05/2024","7:08","7:28",12,1,2,"Wednesday","EUST","Sturnus vulgaris","Preen","7:17","Siberian elm","Ulmus pumila",46,"","","Yard","No","24.3215042","Grooming"
"98","Y47","29/05/2024","7:08","7:28",12,1,2,"Wednesday","EUST","Sturnus vulgaris","Vocalize","7:20","Siberian elm","Ulmus pumila",46,"Fledgling","","Yard","No","24.3215042","Territory_defense"
"99","Y47","29/05/2024","7:08","7:28",12,1,2,"Wednesday","EUST","Sturnus vulgaris","Vocalize","7:20","Siberian elm","Ulmus pumila",46,"Fledgling","","Yard","No","24.3215042","Territory_defense"
"100","Y47","29/05/2024","7:08","7:28",12,1,2,"Wednesday","EUST","Sturnus vulgaris","Perch","7:20","Siberian elm","Ulmus pumila",46,"Fledgling","","Yard","No","24.3215042","Rest"
"101","Y47","29/05/2024","7:08","7:28",12,1,2,"Wednesday","EUST","Sturnus vulgaris","Preen","7:20","White cedar","Thuja occidentalis",35,"","","Yard","No","24.3215042","Grooming"
"102","Y47","29/05/2024","7:08","7:28",12,1,2,"Wednesday","EUST","Sturnus vulgaris","Preen","7:22","Siberian elm","Ulmus pumila",46,"","","Yard","No","24.3215042","Grooming"
"103","Y47","29/05/2024","7:08","7:28",12,1,2,"Wednesday","HOSP","Passer domesticus","Vocalize","7:23","White cedar","Thuja occidentalis",35,"","","Yard","No","24.3215042","Territory_defense"
"104","Y47","29/05/2024","7:08","7:28",12,1,2,"Wednesday","HOSP","Passer domesticus","Bill wipe","7:23","White cedar","Thuja occidentalis",35,"","","Yard","No","24.3215042","Grooming"
"105","Y47","29/05/2024","7:08","7:28",12,1,2,"Wednesday","HOSP","Passer domesticus","Preen","7:23","Siberian elm","Ulmus pumila",46,"","","Yard","No","24.3215042","Grooming"
"106","Y47","29/05/2024","7:08","7:28",12,1,2,"Wednesday","HOSP","Passer domesticus","Hop","7:24","White cedar","Thuja occidentalis",35,"","","Yard","No","24.3215042","Foraging"
"107","Y47","29/05/2024","7:08","7:28",12,1,2,"Wednesday","HOSP","Passer domesticus","Vocalize","7:27","Siberian elm","Ulmus pumila",46,"","","Yard","No","24.3215042","Territory_defense"
"108","Y24","29/05/2024","10:17","10:37",13,1,2,"Wednesday","SOSP","Melospiza melodia","Vocalize","10:23","White cedar","Thuja occidentalis",5,"REVI seen and heard in neighbourhood. Recess time for elementary school behind backyard. REVI, WBNU, NOCA on same silver maple in street","","Yard","Yes","66.8015769","Territory_defense"
"109","Y05","30/05/2024","8:10","8:30",11,1,1,"Thursday","CHSP","Spizella passerina","Vocalize","8:11","Norway spruce","Picea abies",58,"","","Yard","Yes","5.1747616","Territory_defense"
"110","Y05","30/05/2024","8:10","8:30",11,1,1,"Thursday","NOCA","Cardinalis cardinalis","Vocalize","8:29","Japanese yew","Taxus cuspidata",5,"","","Yard","Yes","5.1747616","Territory_defense"
"111","Y05","30/05/2024","8:10","8:30",11,1,1,"Thursday","NOCA","Cardinalis cardinalis","Court","8:29","Japanese yew","Taxus cuspidata",5,"","","Yard","Yes","5.1747616","Reproduction"
"112","Y05","30/05/2024","8:10","8:30",11,1,1,"Thursday","NOCA","Cardinalis cardinalis","Court","8:29","Japanese yew","Taxus cuspidata",5,"","","Yard","Yes","5.1747616","Reproduction"
"113","Y05","30/05/2024","8:10","8:30",11,1,1,"Thursday","NOCA","Cardinalis cardinalis","Vocalize","8:29","Japanese yew","Taxus cuspidata",5,"","","Yard","Yes","5.1747616","Territory_defense"
"114","Y20","30/05/2024","8:41","9:01",12,1,1,"Thursday","HOSP","Passer domesticus","Feeder","8:42","Feeder",NA,NA,"Y20 no longer has a hedge. Lots of BCCH in the neighbours yard. SOSP in neighbours yard. NOCA and SOSP in neighbours street tree. ","","Yard","No","44.9160733","Anthropogenic_interaction"
"115","Y20","30/05/2024","8:41","9:01",12,1,1,"Thursday","HOSP","Passer domesticus","Feeder","8:57","Feeder",NA,NA,"","","Yard","No","44.9160733","Anthropogenic_interaction"
"116","Y20","30/05/2024","8:41","9:01",12,1,1,"Thursday","HOSP","Passer domesticus","Feeder","8:57","Feeder",NA,NA,"","","Yard","No","44.9160733","Anthropogenic_interaction"
"117","Y20","30/05/2024","8:41","9:01",12,1,1,"Thursday","HOSP","Passer domesticus","Feeder","8:57","Feeder",NA,NA,"","","Yard","No","44.9160733","Anthropogenic_interaction"
"118","Y20","30/05/2024","8:41","9:01",12,1,1,"Thursday","HOSP","Passer domesticus","Feeder","8:57","Feeder",NA,NA,"","","Yard","No","44.9160733","Anthropogenic_interaction"
"119","Y20","30/05/2024","8:41","9:01",12,1,1,"Thursday","CHSP","Spizella passerina","Feeder","8:58","Feeder",NA,NA,"","","Yard","No","44.9160733","Anthropogenic_interaction"
"120","Y03","30/05/2024","9:08","9:20",15,1,2,"Thursday","SOSP","Melospiza melodia","Vocalize","9:12","Nootka cypress","Cupressus nootkatensis",15,"Lots of bees, GREG flyover. NOCA and X2 CHSP in street tree. REVI and BHVI heard. SOSP possibly nesting on the ground in the Beautybush. ","","Yard","Yes","2.5470304","Territory_defense"
"121","Y03","30/05/2024","9:08","9:20",15,1,2,"Thursday","SOSP","Melospiza melodia","Vocalize","9:14","Nootka cypress","Cupressus nootkatensis",15,"","","Yard","Yes","2.5470304","Territory_defense"
"122","Y03","30/05/2024","9:08","9:20",15,1,2,"Thursday","SOSP","Melospiza melodia","Vocalize","9:19","Nootka cypress","Cupressus nootkatensis",15,"","","Yard","Yes","2.5470304","Territory_defense"
"123","Y03","30/05/2024","9:08","9:20",15,1,2,"Thursday","SOSP","Melospiza melodia","Court","9:21","Leopard plant","Farfugium japonicum",NA,"Leafy non-woody plant ","","Yard","Yes","2.5470304","Reproduction"
"124","Y03","30/05/2024","9:08","9:20",15,1,2,"Thursday","SOSP","Melospiza melodia","Vocalize","9:21","Leopard plant","Farfugium japonicum",NA,"Leafy non-woody plant ","","Yard","Yes","2.5470304","Territory_defense"
"125","Y03","30/05/2024","9:08","9:20",15,1,2,"Thursday","SOSP","Melospiza melodia","Vocalize","9:25","Nootka cypress","Cupressus nootkatensis",15,"","","Yard","Yes","2.5470304","Territory_defense"
